Giá,Diện tích,Đường,Phường,Quận,Thành phố,Loại BDS,Chiều ngang,Chiều dài,Hướng,Đường trước nhà,Số lầu,Số phòng ngủ,Phòng ăn,Nhà bếp,Sân thượng,Chỗ để xe hơi,Chính chủ
12.5,100.0,Đường Nguyễn Công Sáu,Phường An Hải Bắc,Quận Sơn Trà,Đà Nẵng,Nhà mặt tiền,5.0,20.0,Nam,7.5,3,3,0,0,0,0,0
40.0,200.0,Đường Trần Hưng Đạo,Phường An Hải Bắc,Quận Sơn Trà,Đà Nẵng,Nhà mặt tiền,10.0,20.0,_,15.0,5,4,0,0,0,0,0
12.5,100.0,Đường Văn Tiến Dũng,Phường Hòa Xuân,Quận Cẩm Lệ,Đà Nẵng,Nhà mặt tiền,5.0,20.0,_,11.0,6,11,0,0,0,0,0
9.2,110.0,Đường Mỹ An 17,Phường Mỹ An,Quận Ngũ Hành Sơn,Đà Nẵng,Nhà mặt tiền,5.0,22.0,Tây Bắc,7.5,3,5,1,1,1,1,0
26.5,190.0,Đường Mỹ Đa Đông 12,Phường Mỹ An,Quận Ngũ Hành Sơn,Đà Nẵng,Nhà mặt tiền,21.0,18.0,_,7.5,---,---,0,0,0,0,0
20.8,170.0,Đường Hồ Nghinh,Phường An Hải Nam,Quận Sơn Trà,Đà Nẵng,Nhà mặt tiền,10.0,18.0,_,7.0,4,10,0,0,0,0,0
9.0,100.0,Đường Hoàng Đức Lương,Phường An Hải Bắc,Quận Sơn Trà,Đà Nẵng,Nhà mặt tiền,5.0,18.0,_,10.0,2,4,0,0,0,0,0
9.0,100.0,Đường Hoàng Đức Lương,Phường An Hải Bắc,Quận Sơn Trà,Đà Nẵng,Nhà mặt tiền,5.0,18.0,_,10.0,2,4,0,0,0,0,0
27.5,225.0,Đường Chương Dương,Phường Khuê Mỹ,Quận Ngũ Hành Sơn,Đà Nẵng,Nhà mặt tiền,8.0,18.0,_,10.0,6,32,0,0,0,0,0
18.5,96.0,640 Đường Trưng Nữ Vương,Phường Hòa Thuận Tây,Quận Hải Châu,Đà Nẵng,Nhà mặt tiền,6.0,16.5,Nam,10.0,4,4,1,1,1,1,0
8.3,108.0,Đường An Trung Đông 7,Phường An Hải Nam,Quận Sơn Trà,Đà Nẵng,Nhà mặt tiền,5.0,18.0,_,5.5,3,3,0,0,0,0,0
52.0,250.0,Đường Trần Hưng Đạo,Phường An Hải Bắc,Quận Sơn Trà,Đà Nẵng,Nhà mặt tiền,10.0,25.0,Tây,15.0,3,6,0,0,0,0,0
15.5,87.0,285 Đường Trưng Nữ Vương,Phường Bình Thuận,Quận Hải Châu,Đà Nẵng,Nhà mặt tiền,4.7,18.5,Tây Bắc,10.0,2,4,0,0,0,0,0
8.9,86.0,Đường Hồ Tùng Mậu,Phường Hòa Minh,Quận Liên Chiểu,Đà Nẵng,Nhà mặt tiền,4.5,19.0,Tây,10.0,4,4,1,1,1,1,0
5.6,60.0,Đường Bùi Hữu Nghĩa,Phường An Hải Bắc,Quận Sơn Trà,Đà Nẵng,Nhà mặt tiền,4.0,15.0,Tây,4.0,1,2,0,0,0,0,0
7.2,63.0,Đường Hà Huy Tập,Phường Thanh Khê Đông,Quận Thanh Khê,Đà Nẵng,Nhà mặt tiền,4.8,12.0,_,10.0,1,---,0,0,0,0,0
8.45,95.0,Đường Lý Nhân Tông,Phường Khuê Trung,Quận Cẩm Lệ,Đà Nẵng,Nhà mặt tiền,5.0,18.0,_,7.5,3,4,0,0,0,0,0
9.5,100.0,Đường Dũng Sĩ Thanh Khê,Phường Thanh Khê Tây,Quận Thanh Khê,Đà Nẵng,Nhà mặt tiền,5.0,20.0,_,11.0,3,3,1,1,1,1,0
4.5,68.0,Đường Huỳnh Ngọc Huệ,Phường An Khê,Quận Thanh Khê,Đà Nẵng,Nhà trong hẻm,5.0,18.0,_,5.0,2,3,1,1,1,1,0
7.5,105.0,Đường Nguyễn Duy Hiệu,Phường Phước Mỹ,Quận Sơn Trà,Đà Nẵng,Nhà trong hẻm,4.0,18.0,_,4.5,1,3,0,0,0,0,0
10.2,100.0,Đường Đỗ Huy Uyển,Phường An Hải Bắc,Quận Sơn Trà,Đà Nẵng,Nhà mặt tiền,5.0,20.0,_,7.0,3,3,0,0,0,0,0
7.7,100.0,Đường Mỹ An 7,Phường Mỹ An,Quận Ngũ Hành Sơn,Đà Nẵng,Nhà mặt tiền,5.0,20.0,_,5.0,2,2,0,0,0,0,0
4.8,80.0,Đường Hòa Minh 5,Phường Hòa Minh,Quận Liên Chiểu,Đà Nẵng,Nhà mặt tiền,5.0,16.0,_,5.0,1,2,0,0,0,0,0
27.0,504.0,Đường Ngũ Hành Sơn,Phường Mỹ An,Quận Ngũ Hành Sơn,Đà Nẵng,Nhà trong hẻm,5.0,18.0,_,6.5,3,19,0,0,0,0,0
42.0,47.0,Đường Nguyễn Thái Học,Phường Hải Châu,Quận Hải Châu,Đà Nẵng,Nhà mặt tiền,4.63,11.0,_,11.0,7,5,1,1,1,1,0
34.0,207.0,Đường Ngô Quyền,Phường An Hải Nam,Quận Sơn Trà,Đà Nẵng,Nhà mặt tiền,13.5,22.1,_,30.0,2,3,1,1,1,1,0
